Municipality_DOM_ID,Value_e,Value_sl,Value_sc,date,day_index,model_run,gefs_tmax,icon_tmax,multimodel_tmax,p_below_30,p_30_35,p_35_38,p_38_40,p_ge_40,dominant_category,temperature_category_sr,temperature_color,dominant_category_probability,warmest_valid_time,warmest_period_start_local,warmest_period_end_local,warmest_period_local,warmest_period_resolution_hours,models,gefs_members,icon_members,status,gefs_p_below_30,icon_p_below_30,gefs_p_30_35,icon_p_30_35,gefs_p_35_38,icon_p_35_38,gefs_p_38_40,icon_p_38_40,gefs_p_ge_40,icon_p_ge_40,admin_id,name_local,name_en
2528143,Brčko District,Brčko distrikt,Brčko distrikt,2026-09-19,1,2026-09-18T00:00:00+00:00,28.0,25.9,26.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528143,Brčko distrikt,Brčko District
2528156,City of Banja Luka,Grad Banja Luka,Grad Banja Luka,2026-09-19,1,2026-09-18T00:00:00+00:00,23.0,22.2,22.6,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528156,Grad Banja Luka,City of Banja Luka
2528157,Banovici municipality,Općina Banovići,Općina Banovići,2026-09-19,1,2026-09-18T00:00:00+00:00,26.0,22.7,24.3,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528157,Općina Banovići,Banovici municipality
2528158,Berkovići municipality,Opština Berkovići,Opština Berkovići,2026-09-19,1,2026-09-18T00:00:00+00:00,25.7,23.3,24.5,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528158,Opština Berkovići,Berkovići municipality
2528159,City of Bihać,Grad Bihać,Grad Bihać,2026-09-19,1,2026-09-18T00:00:00+00:00,19.3,20.3,19.8,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528159,Grad Bihać,City of Bihać
2528160,City of Bijeljina,Grad Bijeljina,Grad Bijeljina,2026-09-19,1,2026-09-18T00:00:00+00:00,28.3,26.7,27.5,96.8,3.2,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,96.8,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,93.5,100.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528160,Grad Bijeljina,City of Bijeljina
2528161,Bileca municipality,Opština Bileća,Opština Bileća,2026-09-19,1,2026-09-18T00:00:00+00:00,23.9,23.2,23.5,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528161,Opština Bileća,Bileca municipality
2528162,Town of Gradiška,Grad Gradiška,Grad Gradiška,2026-09-19,1,2026-09-18T00:00:00+00:00,26.0,24.3,25.1,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T15:00:00+00:00,14,17,14–17 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528162,Grad Gradiška,Town of Gradiška
2528163,Kostajnica municipality,Opština Kostajnica,Opština Kostajnica,2026-09-19,1,2026-09-18T00:00:00+00:00,24.8,20.7,22.8,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528163,Opština Kostajnica,Kostajnica municipality
2528164,Town of Bosanska Krupa,Grad Bosanska Krupa,Grad Bosanska Krupa,2026-09-19,1,2026-09-18T00:00:00+00:00,22.4,20.5,21.4,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-19T12:00:00+00:00,11,14,11–14 h,3,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2528164,Grad Bosanska Krupa,Town of Bosanska Krupa
