Municipality_DOM_ID,Value_e,Value_sl,Value_sc,date,day_index,model_run,gefs_tmax,icon_tmax,multimodel_tmax,p_below_30,p_30_35,p_35_38,p_38_40,p_ge_40,dominant_category,temperature_category_sr,temperature_color,dominant_category_probability,warmest_valid_time,warmest_period_start_local,warmest_period_end_local,warmest_period_local,warmest_period_resolution_hours,models,gefs_members,icon_members,status,gefs_p_below_30,icon_p_below_30,gefs_p_30_35,icon_p_30_35,gefs_p_35_38,icon_p_35_38,gefs_p_38_40,icon_p_38_40,gefs_p_ge_40,icon_p_ge_40,admin_id,name_local,name_en
2432321,Municipality of Kisela Voda,Општина Кисела Вода,Општина Кисела Вода,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,18.3,19.8,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432321,Општина Кисела Вода,Municipality of Kisela Voda
2432325,Municipality of Aerodrom,Општина Аеродром,Општина Аеродром,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432325,Општина Аеродром,Municipality of Aerodrom
2433366,Municipality of Gazi Baba,Општина Гази Баба,Општина Гази Баба,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,19.0,20.2,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433366,Општина Гази Баба,Municipality of Gazi Baba
2433475,Municipality of Butel,Општина Бутел,Општина Бутел,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433475,Општина Бутел,Municipality of Butel
2433521,Municipality of Chair,Општина Чаир,Општина Чаир,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433521,Општина Чаир,Municipality of Chair
2433628,Municipality of Shuto Orizari,Општина Шуто Оризари,Општина Шуто Оризари,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433628,Општина Шуто Оризари,Municipality of Shuto Orizari
2439777,Municipality of Centar,Општина Центар,Општина Центар,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439777,Општина Центар,Municipality of Centar
2440308,Municipality of Saraj,Општина Сарај,Општина Сарај,2026-09-22,4,2026-09-18T00:00:00+00:00,19.6,18.1,18.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440308,Општина Сарај,Municipality of Saraj
2440352,Municipality of Gjorche Petrov,Општина Ѓорче Петров,Општина Ѓорче Петров,2026-09-22,4,2026-09-18T00:00:00+00:00,19.6,19.0,19.3,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440352,Општина Ѓорче Петров,Municipality of Gjorche Petrov
2440380,Municipality of Karposh,Општина Карпош,Општина Карпош,2026-09-22,4,2026-09-18T00:00:00+00:00,21.3,20.5,20.9,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440380,Општина Карпош,Municipality of Karposh
2454874,Municipality of Kochani,Општина Кочани,Општина Кочани,2026-09-22,4,2026-09-18T00:00:00+00:00,19.6,12.7,16.1,100.0,0.0,0.0,0.0,0.0,below_30,Уобичајена температура,GREEN,100.0,2026-09-22T12:00:00+00:00,11,17,11–17 h,6,GEFS | ICON-EU EPS,31,40,EXPERIMENTAL / NOT CALIBRATED,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454874,Општина Кочани,Municipality of Kochani
